# Source: paul ransfield (ordered for reciprocity)
# Attribution: paul ransfield, Kapai Group
# haporiCRM_ID: to be supplied
# List: kākano 144 — The Core Foundation Words
# Revision: 2026-08-17
# Selection rationale: first-word foundation for call-and-response, relational community sense making, practical agency, inquiry, intergenerational connection, and ecological life-world language.
# Governance: community review arbitrates membership, ordering, and subsets; each approved revision remains attributable.
order,word
1,now
2,the
3,i
4,you
5,we
6,a
7,our
8,your
9,mum
10,dad
11,sister
12,brother
13,friend
14,aunt
15,uncle
16,family
17,community
18,my
19,their
20,his
21,her
22,practice
23,love
24,care
25,help
26,make
27,share
28,word
29,read
30,count
31,art
32,build
33,soul
34,he
35,she
36,it
37,they
38,sun
39,moon
40,sky
41,earth
42,god
43,do
44,and
45,in
46,to
47,for
48,up
49,down
50,then
51,can
52,have
53,hear
54,see
55,look
56,are
57,say
58,play
59,is
60,go
61,stop
62,start
63,come
64,big
65,little
66,yes
67,no
68,maybe
69,soon
70,me
71,us
72,him
73,out
74,at
75,with
76,there
77,what
78,how
79,who
80,where
81,when
82,grandfather
83,grandmother
84,ancestor
85,mountain
86,river
87,ocean
88,good
89,like
90,this
91,that
92,please
93,of
94,eat
95,drink
96,laugh
97,sing
98,into
99,want
100,dream
101,some
102,ask
103,know
104,put
105,take
106,old
107,new
108,young
109,give
110,live
111,thank
112,because
113,call
114,day
115,night
116,animal
117,bird
118,fish
119,cat
120,dog
121,red
122,green
123,black
124,brown
125,blue
126,yellow
127,white
128,find
129,after
130,home
131,food
132,seed
133,plant
134,grow
135,water
136,air
137,wind
138,fire
139,cloud
140,them
141,try
142,tool
143,pet
144,always
